timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673376848144,1428,object_info_1,200,OK,Thread Group 1-422,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,1428,0,1049
1673376845835,3738,HTTP Request test,200,OK,Thread Group 1-291,text,true,,195,128,600,600,http://162.55.220.72:5005/first,3738,0,48
1673376846757,2823,object_info_1,200,OK,Thread Group 1-373,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,2822,0,41
1673376845847,3733,get_method,200,OK,Thread Group 1-311,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,3733,0,49
1673376849145,442,HTTP Request test,200,OK,Thread Group 1-464,text,true,,195,128,600,600,http://162.55.220.72:5005/first,441,0,47
1673376849140,447,HTTP Request test,200,OK,Thread Group 1-566,text,true,,195,128,600,600,http://162.55.220.72:5005/first,447,0,45
1673376848149,1440,object_info_1,200,OK,Thread Group 1-399,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,1440,0,1062
1673376849148,447,get_method,200,OK,Thread Group 1-175,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,447,0,44
1673376845745,3855,HTTP Request test,200,OK,Thread Group 1-12,text,true,,195,128,600,600,http://162.55.220.72:5005/first,3854,0,1053
1673376849149,461,object_info_1,200,OK,Thread Group 1-243,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,461,0,62
1673376849147,465,HTTP Request test,200,OK,Thread Group 1-235,text,true,,195,128,600,600,http://162.55.220.72:5005/first,465,0,64
